flag,eez,fishing_vessels,fishing_days,fishing_hours,fishing_KwH,start_lat,start_lon,end_lon,end_lat
France,Canada,3,486,5620.349166666667,7797135.710185312,45.8571905908,-56.3870090588,-63.744311,44.68198659999999
Germany,Canada,1,2,31.391527777777778,272520.4001922222,51.165691,10.451526,-63.744311,44.68198659999999
Germany,Cape Verde,1,4,21.93638888888889,57070.89477578888,51.165691,10.451526,-24.1716379097,16.0919044675
Germany,Chile,1,2,1.96,16934.399999999998,51.165691,10.451526,-75.6994658146,-40.7386937476
Germany,Mauritania,2,76,366.3949999999999,1775866.231184149,51.165691,10.451526,-17.9181448954,18.2466224476
Germany,Senegal,1,4,28.14680555555555,73228.25038670558,51.165691,10.451526,-18.5035747312,13.6946293156
Germany,Western Sahara,2,207,2018.9437500000008,10679353.904764963,51.165691,10.451526,-17.6951303974,23.3411860745
Ghana,Benin,3,130,1963.474722222222,2045970.3956119597,3.50286659343,-0.847226823817,2.42123297004,4.84154943849
Ghana,Ivory Coast,23,2123,33116.84027777778,23214947.883086342,3.50286659343,-0.847226823817,-5.4494860846,3.30806149919
Ghana,Liberia,1,5,98.18263888888889,68064.52433206249,3.50286659343,-0.847226823817,-10.1776290674,3.80280296257
Ghana,Taiwan,2,47,325.5163888888889,83506.77904480833,3.50286659343,-0.847226823817,118.848425827,21.5385134976
Ghana,Togo,3,19,76.51430555555555,80626.27320099444,3.50286659343,-0.847226823817,1.82134961928,4.6394919934
Greece,Albania,16,190,253.46569444444444,66652.27644388055,36.5071422798,23.9324458505,19.1130007712,40.927083965
Greece,Egypt,2,20,204.19111111111113,32107.224968055554,36.5071422798,23.9324458505,31.149135591,30.4508234116
Greece,Gambia,1,13,100.18138888888888,81007.67286944446,36.5071422798,23.9324458505,-18.3875108981,13.3286663278
Greece,Guinea,1,21,340.9744444444444,300057.51111111126,36.5071422798,23.9324458505,-15.6205073648,9.18113919475
Greece,Guinea-Bissau,2,188,3524.0976388888866,2473602.05600694,36.5071422798,23.9324458505,-17.5671963259,10.5806587096
Greece,Madagascar,2,784,15666.486805555562,11111118.448293135,36.5071422798,23.9324458505,47.2538894845,-20.9128765386
Greece,Senegal,2,8,80.24472222222225,49741.358277777756,36.5071422798,23.9324458505,-18.7744292536,11.2609962226
Greece,Sierra Leone,1,34,451.3259722222226,397166.85555555514,36.5071422798,23.9324458505,-14.1446799886,6.6354075324
Greece,Turkey,62,3925,18615.663333333334,5141407.590702924,36.5071422798,23.9324458505,33.2205977618,40.5222437012
Guatemala,Angola,1,3,6.599305555555556,24753.114527555557,12.5524312281,-92.0907971305,11.0353708514,-11.701097795
Guatemala,Equatorial Guinea,1,4,11.330833333333334,42500.44384693333,12.5524312281,-92.0907971305,5.43745069906,-1.37183355987
Guatemala,Gabon,1,50,371.69319444444443,1394171.5736212446,12.5524312281,-92.0907971305,8.73897075276,-3.06254123261
Guatemala,Ivory Coast,2,14,81.02083333333334,284430.38822894724,12.5524312281,-92.0907971305,-5.4494860846,3.30806149919
Guatemala,Liberia,1,2,8.456250000000002,28199.063470875,12.5524312281,-92.0907971305,-10.1776290674,3.80280296257
Guatemala,Sao Tome and Principe,1,6,21.14097222222222,79296.96575422223,12.5524312281,-92.0907971305,6.35334522867,0.779096486722
Guatemala,Sierra Leone,1,4,33.11333333333333,110423.05849506667,12.5524312281,-92.0907971305,-14.1446799886,6.6354075324
Honduras,Denmark,1,267,3286.224027777778,656017.0722587778,15.199999,-86.241905,9.24983396528,56.1421317001
Hungary,Western Sahara,2,54,732.5066666666668,2043974.1654181909,47.162494,19.5033041,-17.6951303974,23.3411860745
